ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Regular price,Categories,Tags,Images,Brands,Slug,SEO Title,Meta Description,Meta: rank_math_title,Meta: rank_math_description,Meta: rank_math_focus_keyword,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Original Name,Original Description
,simple,DS-K1101MK,Hikvision DS-K1101MK Card Keypad Entry Access Control Device,1,0,visible,"Hikvision DS-K1101MK Card Keypad Entry Access Control Device for access control, staff attendance, and door security projects. Model DS-K1101MK from Hikvision, supplied for professional installations and business use.","<p><strong>Hikvision DS-K1101MK Card Keypad Entry Access Control Device</strong> is a access control device from Hikvision built for access control, staff attendance, and door security projects.</p><ul><li>Hikvision DS-K1101MK Card Keypad Entry Access Control Device designed for access control, staff attendance, and door security projects.</li><li>Original product model/SKU: DS-K1101MK for accurate ordering and after-sales support.</li><li>Key product details include business-grade specifications.</li><li>Useful for installers, resellers, companies, shops, offices, and project-based deployments.</li><li>Supports card support, keypad entry depending on the product configuration.</li><li>SEO-friendly listing prepared with clear category, brand, model, and product-type information.</li><li>Available from Jordan Techno Mall with local B2B support, product sourcing, and delivery in Jordan.</li></ul>",taxable,1,21,Access & Attendance Control Hardware > Access Devices,"Access Control Device, Hikvision, DS-K1101MK, Jordan Techno Mall, Jordan, Access & Attendance Control Hardware, Access Devices, access control, door access, security device",DS-K1101MK-1200x1200.png,Hikvision,hikvision-ds-k1101mk-card-keypad-entry-access-control-device,Hikvision DS-K1101MK Card Keypad Entry Access Control Device,"Buy Hikvision DS-K1101MK Card Keypad Entry Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1101MK with.",Hikvision DS-K1101MK Card Keypad Entry Access Control Device,"Buy Hikvision DS-K1101MK Card Keypad Entry Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1101MK with.",Hikvision DS-K1101MK Access Control Device,Hikvision DS-K1101MK Card Keypad Entry Access Control Device,"Buy Hikvision DS-K1101MK Card Keypad Entry Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1101MK with.",Brand,Hikvision,1,0,Model,DS-K1101MK,1,0,Product Type,Access Control Device,1,0,HIKVISION DS-K1101MK Mifare Card Reader with Keypad,"HIKVISION DS-K1101MK Mifare Card Reader with Keypad is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1101MK."
,simple,DS-K1102AMK,Hikvision DS-K1102AMK Card Access Control Device,1,0,visible,"Hikvision DS-K1102AMK Card Access Control Device for access control, staff attendance, and door security projects. Model DS-K1102AMK from Hikvision, supplied for professional installations and business use.","<p><strong>Hikvision DS-K1102AMK Card Access Control Device</strong> is a access control device from Hikvision built for access control, staff attendance, and door security projects.</p><ul><li>Hikvision DS-K1102AMK Card Access Control Device designed for access control, staff attendance, and door security projects.</li><li>Original product model/SKU: DS-K1102AMK for accurate ordering and after-sales support.</li><li>Key product details include business-grade specifications.</li><li>Useful for installers, resellers, companies, shops, offices, and project-based deployments.</li><li>Supports card support depending on the product configuration.</li><li>SEO-friendly listing prepared with clear category, brand, model, and product-type information.</li><li>Available from Jordan Techno Mall with local B2B support, product sourcing, and delivery in Jordan.</li></ul>",taxable,1,28,Access & Attendance Control Hardware > Access Devices,"Access Control Device, Hikvision, DS-K1102AMK, Jordan Techno Mall, Jordan, Access & Attendance Control Hardware, Access Devices, access control, door access, security device",DS-K1102AMK-1200x1200.png,Hikvision,hikvision-ds-k1102amk-card-access-control-device,Hikvision DS-K1102AMK Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1102AMK Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1102AMK with reliable.",Hikvision DS-K1102AMK Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1102AMK Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1102AMK with reliable.",Hikvision DS-K1102AMK Access Control Device,Hikvision DS-K1102AMK Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1102AMK Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1102AMK with reliable.",Brand,Hikvision,1,0,Model,DS-K1102AMK,1,0,Product Type,Access Control Device,1,0,HIKVISION DS-K1102AMK Card Reader,"HIKVISION DS-K1102AMK Card Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1102AMK."
,simple,DS-K1104MK,Hikvision DS-K1104MK Card Vandal-Resistant Design Access Control Device,1,0,visible,"Hikvision DS-K1104MK Card Vandal-Resistant Design Access Control Device for access control, staff attendance, and door security projects. Model DS-K1104MK from Hikvision, supplied for professional installations and business use.","<p><strong>Hikvision DS-K1104MK Card Vandal-Resistant Design Access Control Device</strong> is a access control device from Hikvision built for access control, staff attendance, and door security projects.</p><ul><li>Hikvision DS-K1104MK Card Vandal-Resistant Design Access Control Device designed for access control, staff attendance, and door security projects.</li><li>Original product model/SKU: DS-K1104MK for accurate ordering and after-sales support.</li><li>Key product details include business-grade specifications.</li><li>Useful for installers, resellers, companies, shops, offices, and project-based deployments.</li><li>Supports card support, vandal-resistant design depending on the product configuration.</li><li>SEO-friendly listing prepared with clear category, brand, model, and product-type information.</li><li>Available from Jordan Techno Mall with local B2B support, product sourcing, and delivery in Jordan.</li></ul>",taxable,1,54,Access & Attendance Control Hardware > Access Devices,"Access Control Device, Hikvision, DS-K1104MK, Jordan Techno Mall, Jordan, Access & Attendance Control Hardware, Access Devices, access control, door access, security device",DS-K1104MK-1200x1200.png,Hikvision,hikvision-ds-k1104mk-card-vandal-resistant-design-access-control-device,Hikvision DS-K1104MK Card Vandal-Resistant Design Access Control Device,"Buy Hikvision DS-K1104MK Card Vandal-Resistant Design Access Control Device for access control, staff attendance, and door security projects. Hikvision.",Hikvision DS-K1104MK Card Vandal-Resistant Design Access Control Device,"Buy Hikvision DS-K1104MK Card Vandal-Resistant Design Access Control Device for access control, staff attendance, and door security projects. Hikvision.",Hikvision DS-K1104MK Access Control Device,Hikvision DS-K1104MK Card Vandal-Resistant Design Access Control Device,"Buy Hikvision DS-K1104MK Card Vandal-Resistant Design Access Control Device for access control, staff attendance, and door security projects. Hikvision.",Brand,Hikvision,1,0,Model,DS-K1104MK,1,0,Product Type,Access Control Device,1,0,HIKVISION DS-K1104MK Pro 1104 Series Metal Vandal-proof Card Reader,"HIKVISION DS-K1104MK Pro 1104 Series Metal Vandal-proof Card Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1104MK."
,simple,DS-K1108AMK,Hikvision DS-K1108AMK Card Access Control Device,1,0,visible,"Hikvision DS-K1108AMK Card Access Control Device for access control, staff attendance, and door security projects. Model DS-K1108AMK from Hikvision, supplied for professional installations and business use.","<p><strong>Hikvision DS-K1108AMK Card Access Control Device</strong> is a access control device from Hikvision built for access control, staff attendance, and door security projects.</p><ul><li>Hikvision DS-K1108AMK Card Access Control Device designed for access control, staff attendance, and door security projects.</li><li>Original product model/SKU: DS-K1108AMK for accurate ordering and after-sales support.</li><li>Key product details include business-grade specifications.</li><li>Useful for installers, resellers, companies, shops, offices, and project-based deployments.</li><li>Supports card support depending on the product configuration.</li><li>SEO-friendly listing prepared with clear category, brand, model, and product-type information.</li><li>Available from Jordan Techno Mall with local B2B support, product sourcing, and delivery in Jordan.</li></ul>",taxable,1,26,Access & Attendance Control Hardware > Access Devices,"Access Control Device, Hikvision, DS-K1108AMK, Jordan Techno Mall, Jordan, Access & Attendance Control Hardware, Access Devices, access control, door access, security device",DS-K1108AMK-1200x1200.png,Hikvision,hikvision-ds-k1108amk-card-access-control-device,Hikvision DS-K1108AMK Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1108AMK Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1108AMK with reliable.",Hikvision DS-K1108AMK Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1108AMK Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1108AMK with reliable.",Hikvision DS-K1108AMK Access Control Device,Hikvision DS-K1108AMK Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1108AMK Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1108AMK with reliable.",Brand,Hikvision,1,0,Model,DS-K1108AMK,1,0,Product Type,Access Control Device,1,0,HIKVISION DS-K1108AMK Pro 1108A Series Card Reader,"HIKVISION DS-K1108AMK Pro 1108A Series Card Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1108AMK."
,simple,DS-K1109DKB,Hikvision DS-K1109DKB Card Access Control Device,1,0,visible,"Hikvision DS-K1109DKB Card Access Control Device for access control, staff attendance, and door security projects. Model DS-K1109DKB from Hikvision, supplied for professional installations and business use.","<p><strong>Hikvision DS-K1109DKB Card Access Control Device</strong> is a access control device from Hikvision built for access control, staff attendance, and door security projects.</p><ul><li>Hikvision DS-K1109DKB Card Access Control Device designed for access control, staff attendance, and door security projects.</li><li>Original product model/SKU: DS-K1109DKB for accurate ordering and after-sales support.</li><li>Key product details include business-grade specifications.</li><li>Useful for installers, resellers, companies, shops, offices, and project-based deployments.</li><li>Supports card support depending on the product configuration.</li><li>SEO-friendly listing prepared with clear category, brand, model, and product-type information.</li><li>Available from Jordan Techno Mall with local B2B support, product sourcing, and delivery in Jordan.</li></ul>",taxable,1,46,Access & Attendance Control Hardware > Access Devices,"Access Control Device, Hikvision, DS-K1109DKB, Jordan Techno Mall, Jordan, Access & Attendance Control Hardware, Access Devices, access control, door access, security device",DS-K1109DKB-1200x1200.png,Hikvision,hikvision-ds-k1109dkb-card-access-control-device,Hikvision DS-K1109DKB Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1109DKB Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1109DKB with reliable.",Hikvision DS-K1109DKB Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1109DKB Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1109DKB with reliable.",Hikvision DS-K1109DKB Access Control Device,Hikvision DS-K1109DKB Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1109DKB Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1109DKB with reliable.",Brand,Hikvision,1,0,Model,DS-K1109DKB,1,0,Product Type,Access Control Device,1,0,HIKVISION DS-K1109DKB Card Reader,"HIKVISION DS-K1109DKB Card Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1109DKB."
,simple,DS-K1109DKFB,Hikvision DS-K1109DKFB Card Access Control Device,1,0,visible,"Hikvision DS-K1109DKFB Card Access Control Device for access control, staff attendance, and door security projects. Model DS-K1109DKFB from Hikvision, supplied for professional installations and business use.","<p><strong>Hikvision DS-K1109DKFB Card Access Control Device</strong> is a access control device from Hikvision built for access control, staff attendance, and door security projects.</p><ul><li>Hikvision DS-K1109DKFB Card Access Control Device designed for access control, staff attendance, and door security projects.</li><li>Original product model/SKU: DS-K1109DKFB for accurate ordering and after-sales support.</li><li>Key product details include business-grade specifications.</li><li>Useful for installers, resellers, companies, shops, offices, and project-based deployments.</li><li>Supports card support depending on the product configuration.</li><li>SEO-friendly listing prepared with clear category, brand, model, and product-type information.</li><li>Available from Jordan Techno Mall with local B2B support, product sourcing, and delivery in Jordan.</li></ul>",taxable,1,58,Access & Attendance Control Hardware > Access Devices,"Access Control Device, Hikvision, DS-K1109DKFB, Jordan Techno Mall, Jordan, Access & Attendance Control Hardware, Access Devices, access control, door access, security device",DS-K1109DKFB-1200x1200.png,Hikvision,hikvision-ds-k1109dkfb-card-access-control-device,Hikvision DS-K1109DKFB Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1109DKFB Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1109DKFB with reliable.",Hikvision DS-K1109DKFB Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1109DKFB Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1109DKFB with reliable.",Hikvision DS-K1109DKFB Access Control Device,Hikvision DS-K1109DKFB Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1109DKFB Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1109DKFB with reliable.",Brand,Hikvision,1,0,Model,DS-K1109DKFB,1,0,Product Type,Access Control Device,1,0,HIKVISION DS-K1109DKFB Card Reader,"HIKVISION DS-K1109DKFB Card Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1109DKFB."
,simple,DS-K1109DKFB-QR,Hikvision DS-K1109DKFB-QR Card Access Control Device,1,0,visible,"Hikvision DS-K1109DKFB-QR Card Access Control Device for access control, staff attendance, and door security projects. Model DS-K1109DKFB-QR from Hikvision, supplied for professional installations and business use.","<p><strong>Hikvision DS-K1109DKFB-QR Card Access Control Device</strong> is a access control device from Hikvision built for access control, staff attendance, and door security projects.</p><ul><li>Hikvision DS-K1109DKFB-QR Card Access Control Device designed for access control, staff attendance, and door security projects.</li><li>Original product model/SKU: DS-K1109DKFB-QR for accurate ordering and after-sales support.</li><li>Key product details include business-grade specifications.</li><li>Useful for installers, resellers, companies, shops, offices, and project-based deployments.</li><li>Supports card support depending on the product configuration.</li><li>SEO-friendly listing prepared with clear category, brand, model, and product-type information.</li><li>Available from Jordan Techno Mall with local B2B support, product sourcing, and delivery in Jordan.</li></ul>",taxable,1,69,Access & Attendance Control Hardware > Access Devices,"Access Control Device, Hikvision, DS-K1109DKFB-QR, Jordan Techno Mall, Jordan, Access & Attendance Control Hardware, Access Devices, access control, door access, security device",DS-K1109DKFB-QR-1-1200x1200.png,Hikvision,hikvision-ds-k1109dkfb-qr-card-access-control-device,Hikvision DS-K1109DKFB-QR Card Access Control Device,"Buy Hikvision DS-K1109DKFB-QR Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1109DKFB-QR with.",Hikvision DS-K1109DKFB-QR Card Access Control Device,"Buy Hikvision DS-K1109DKFB-QR Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1109DKFB-QR with.",Hikvision DS-K1109DKFB-QR Access Control Device,Hikvision DS-K1109DKFB-QR Card Access Control Device,"Buy Hikvision DS-K1109DKFB-QR Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1109DKFB-QR with.",Brand,Hikvision,1,0,Model,DS-K1109DKFB-QR,1,0,Product Type,Access Control Device,1,0,HIKVISION DS-K1109DKFB-QR Card Reader,"HIKVISION DS-K1109DKFB-QR Card Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1109DKFB-QR."
,simple,DS-K1201AMF,Hikvision DS-K1201AMF Fingerprint Access Control Device,1,0,visible,"Hikvision DS-K1201AMF Fingerprint Access Control Device for access control, staff attendance, and door security projects. Model DS-K1201AMF from Hikvision, supplied for professional installations and business use.","<p><strong>Hikvision DS-K1201AMF Fingerprint Access Control Device</strong> is a access control device from Hikvision built for access control, staff attendance, and door security projects.</p><ul><li>Hikvision DS-K1201AMF Fingerprint Access Control Device designed for access control, staff attendance, and door security projects.</li><li>Original product model/SKU: DS-K1201AMF for accurate ordering and after-sales support.</li><li>Key product details include business-grade specifications.</li><li>Useful for installers, resellers, companies, shops, offices, and project-based deployments.</li><li>Supports fingerprint authentication depending on the product configuration.</li><li>SEO-friendly listing prepared with clear category, brand, model, and product-type information.</li><li>Available from Jordan Techno Mall with local B2B support, product sourcing, and delivery in Jordan.</li></ul>",taxable,1,42,Access & Attendance Control Hardware > Access Devices,"Access Control Device, Hikvision, DS-K1201AMF, Jordan Techno Mall, Jordan, Access & Attendance Control Hardware, Access Devices, access control, door access, security device",DS-K1101MK-1200x1200-001.png,Hikvision,hikvision-ds-k1201amf-fingerprint-access-control-device,Hikvision DS-K1201AMF Fingerprint Access Control Device,"Buy Hikvision DS-K1201AMF Fingerprint Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1201AMF with.",Hikvision DS-K1201AMF Fingerprint Access Control Device,"Buy Hikvision DS-K1201AMF Fingerprint Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1201AMF with.",Hikvision DS-K1201AMF Access Control Device,Hikvision DS-K1201AMF Fingerprint Access Control Device,"Buy Hikvision DS-K1201AMF Fingerprint Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1201AMF with.",Brand,Hikvision,1,0,Model,DS-K1201AMF,1,0,Product Type,Access Control Device,1,0,HIKVISION DS-K1201AMF Fingerprint Reader,"HIKVISION DS-K1201AMF Fingerprint Reader is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1201AMF."
,simple,DS-K1801MK,Hikvision DS-K1801MK Card Access Control Device,1,0,visible,"Hikvision DS-K1801MK Card Access Control Device for access control, staff attendance, and door security projects. Model DS-K1801MK from Hikvision, supplied for professional installations and business use.","<p><strong>Hikvision DS-K1801MK Card Access Control Device</strong> is a access control device from Hikvision built for access control, staff attendance, and door security projects.</p><ul><li>Hikvision DS-K1801MK Card Access Control Device designed for access control, staff attendance, and door security projects.</li><li>Original product model/SKU: DS-K1801MK for accurate ordering and after-sales support.</li><li>Key product details include business-grade specifications.</li><li>Useful for installers, resellers, companies, shops, offices, and project-based deployments.</li><li>Supports card support depending on the product configuration.</li><li>SEO-friendly listing prepared with clear category, brand, model, and product-type information.</li><li>Available from Jordan Techno Mall with local B2B support, product sourcing, and delivery in Jordan.</li></ul>",taxable,1,18,Access & Attendance Control Hardware > Access Devices,"Access Control Device, Hikvision, DS-K1801MK, Jordan Techno Mall, Jordan, Access & Attendance Control Hardware, Access Devices, access control, door access, security device",DS-K1801MK-1200x1200.png,Hikvision,hikvision-ds-k1801mk-card-access-control-device,Hikvision DS-K1801MK Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1801MK Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1801MK with reliable.",Hikvision DS-K1801MK Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1801MK Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1801MK with reliable.",Hikvision DS-K1801MK Access Control Device,Hikvision DS-K1801MK Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1801MK Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1801MK with reliable.",Brand,Hikvision,1,0,Model,DS-K1801MK,1,0,Product Type,Access Control Device,1,0,HIKVISION DS-K1801 Value 1801 Card Reader (EM & MF & Keyboard),"HIKVISION DS-K1801 Value 1801 Card Reader (EM & MF & Keyboard) is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1801MK."
,simple,DS-K1802MK,Hikvision DS-K1802MK Card Access Control Device,1,0,visible,"Hikvision DS-K1802MK Card Access Control Device for access control, staff attendance, and door security projects. Model DS-K1802MK from Hikvision, supplied for professional installations and business use.","<p><strong>Hikvision DS-K1802MK Card Access Control Device</strong> is a access control device from Hikvision built for access control, staff attendance, and door security projects.</p><ul><li>Hikvision DS-K1802MK Card Access Control Device designed for access control, staff attendance, and door security projects.</li><li>Original product model/SKU: DS-K1802MK for accurate ordering and after-sales support.</li><li>Key product details include business-grade specifications.</li><li>Useful for installers, resellers, companies, shops, offices, and project-based deployments.</li><li>Supports card support depending on the product configuration.</li><li>SEO-friendly listing prepared with clear category, brand, model, and product-type information.</li><li>Available from Jordan Techno Mall with local B2B support, product sourcing, and delivery in Jordan.</li></ul>",taxable,1,20,Access & Attendance Control Hardware > Access Devices,"Access Control Device, Hikvision, DS-K1802MK, Jordan Techno Mall, Jordan, Access & Attendance Control Hardware, Access Devices, access control, door access, security device",DS-K1802MK-1200x1200.png,Hikvision,hikvision-ds-k1802mk-card-access-control-device,Hikvision DS-K1802MK Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1802MK Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1802MK with reliable.",Hikvision DS-K1802MK Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1802MK Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1802MK with reliable.",Hikvision DS-K1802MK Access Control Device,Hikvision DS-K1802MK Card Access Control Device | Jordan Techno Mall,"Buy Hikvision DS-K1802MK Card Access Control Device for access control, staff attendance, and door security projects. Hikvision DS-K1802MK with reliable.",Brand,Hikvision,1,0,Model,DS-K1802MK,1,0,Product Type,Access Control Device,1,0,HIKVISION DS-K1802 Value 1802 Card Reader (EM & MF & Keyboard),"HIKVISION DS-K1802 Value 1802 Card Reader (EM & MF & Keyboard) is a access devices from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-K1802MK."
